gene_claim_name	gene_name	entrez_id	gene_claim_source
ENSG00000135776	ABCB10	23456	Ensembl
ENSG00000259277			Ensembl
KHK	KHK	3795	Pharos
CX3CL1	CX3CL1	6376	CIViC
ENSG00000213150			Ensembl
TAF7L	TAF7L	54457	Pharos
TRBC1	TRBC1	28639	GO
ENSG00000249790			Ensembl
ENSG00000089234	BRAP	8315	Ensembl
ENSG00000285553			Ensembl
ENSG00000237092	LINC01065	102723875	Ensembl
ENSG00000274599	DUX4L24	102723449	Ensembl
ENSG00000134013	LOXL2	4017	Ensembl
ROCK1	ROCK1	6093	dGene
ENSG00000224655	LINC01823	101927801	Ensembl
2048	EPHB2	2048	GuideToPharmacology
ENSG00000135315	CEP162	22832	Ensembl
221188	ADGRG5	221188	GuideToPharmacology
ENSG00000279331	RBM12B-AS1	55472	Ensembl
BTK	BTK	695	FoundationOneGenes
ENSG00000273003	ARL2-SNX15	100528018	Ensembl
P43155	CRAT	1384	HopkinsGroom
ENSG00000268864			Ensembl
ENSG00000259950			Ensembl
ENSG00000288562			Ensembl
ENSG00000204410	MSH5	4439	Ensembl
9099	USP2	9099	GuideToPharmacology
ENSG00000255108			Ensembl
ENSG00000228315	GUSBP11	91316	Ensembl
KNSTRN	KNSTRN	90417	Oncomine
P36507	MAP2K2	5605	HopkinsGroom
ENSG00000185904	LINC00839	84856	Ensembl
ENSG00000224064			Ensembl
CALR	CALR	811	JAX-CKB
HSP90AA1	HSP90AA1	3320	MyCancerGenome
NHE3	SLC9A3	6550	ChemblInteractions
ENSG00000199773	RNU1-76P	106481617	Ensembl
ENSG00000181524	RPL24P4	377381	Ensembl
CGB7	CGB7	94027	GO
ALDH6A1	ALDH6A1	4329	HumanProteinAtlas
ENSG00000160870	CYP3A7	1551	RussLampel
SLC2A5	SLC2A5	6518	NCI
RNF4	RNF4	6047	GO
P00749	PLAU	5328	HopkinsGroom
CCR6	CCR6	1235	NCI
ENSG00000255026			Ensembl
OR8U3	OR8U3	219479	GO
ENSG00000274349	ZNF658	26149	Ensembl
ENSG00000254325			Ensembl
ENSG00000274852	RN7SL422P	106481038	Ensembl
ENSG00000225957			Ensembl
ENSG00000090060	PAPOLA	10914	Ensembl
ENSG00000177380	PPFIA3	8541	Ensembl
ENSG00000272459			Ensembl
ENSG00000287356			Ensembl
MAPK-activated protein kinase 2	MAPKAPK2	9261	TTD
ENSG00000104044	OCA2	4948	Ensembl
MFSD12	MFSD12	126321	GO
TLR5	TLR5	7100	PharmGKB
NRAS	NRAS	4893	NCI
ENSG00000227671			Ensembl
ENSG00000219806	ATP5PBP6	645440	Ensembl
ENSG00000232864	NUCKS1P1	100130466	Ensembl
Bile-salt-activated lipase	CEL	1056	TTD
11184	MAP4K1	11184	GuideToPharmacology
ENSG00000276107			Ensembl
ENSG00000209082	MT-TL1	4567	Ensembl
ENSG00000273056			Ensembl
ACVR2B	ACVR2B	93	GO
ENSG00000198780	FAM169A	26049	Ensembl
ENSG00000118434	SPACA1	81833	Ensembl
ENSG00000261026			Ensembl
OTP	OTP	23440	Pharos
ENSG00000171102	OBP2B	29989	HingoraniCasas
ENSG00000214322	CBX1P2	100147811	Ensembl
ENSG00000174672	BRSK2	9024	Ensembl
ENSG00000196363	WDR5	11091	Ensembl
OR1P1	OR1P1	8391	Pharos
CNDP1	CNDP1	84735	GO
ENSG00000276208			Ensembl
ENSG00000102243	VGLL1	51442	Ensembl
KMT2B	KMT2B	9757	Tempus
ENSG00000260750			Ensembl
LRRK1	LRRK1	79705	Pharos
P47870	GABRB2	2561	TEND
ENSG00000259798			Ensembl
UCN3	UCN3	114131	GO
Sodium/calcium exchanger	CCL21	6366	TTD
ENSG00000254263			Ensembl
ENSG00000259889			Ensembl
MAPK15	MAPK15	225689	GO
ENSG00000130165	ELOF1	84337	Ensembl
ENSG00000154678	PDE1C	5137	HingoraniCasas
ENSG00000155099	PIP4P2	55529	Ensembl
NDUFS2	NDUFS2	4720	HumanProteinAtlas
ENSG00000187961	KLHL17	339451	HingoraniCasas
BCL3	BCL3	602	FoundationOneGenes
TBXAS1	TBXAS1	6916	NCI
PANK1	PANK1	53354	Pharos
ENSG00000251483	LYPLA1P2	391686	Ensembl
ARPP21	ARPP21	10777	Pharos
ENSG00000196460	RFX8	731220	Ensembl
ENSG00000284197	MIR658	724028	Ensembl
IFNL3	IFNL3	282617	PharmGKB
ENSG00000077454	LRCH4	4034	Ensembl
ENSG00000267044			Ensembl
SIK1B	SIK1B	102724428	Pharos
ENSG00000204687	MAS1L	116511	Ensembl
ENSG00000288107			Ensembl
CIITA	CIITA	4261	Tempus
SLC6A20	SLC6A20	54716	Pharos
CD19	CD19	930	ChemblInteractions
ENSG00000239345	HNRNPA1P26	664722	Ensembl
ENSG00000253111			Ensembl
ENSG00000250049			Ensembl
ENSG00000251974	SNORA19	641451	Ensembl
ENSG00000225719	NMNAT1P2	100129160	Ensembl
10855	HPSE	10855	GuideToPharmacology
ENSG00000259520			Ensembl
ENSG00000116977	LGALS8	3964	Ensembl
OR7A10	OR7A10	390892	Pharos
NR2C2	NR2C2	7182	BaderLabGenes
ENSG00000212612	RNU6-1239P	106481571	Ensembl
ENSG00000164930	FZD6	8323	Ensembl
Induced myeloid leukemia cell differentiation protein Mcl-1	MCL1	4170	TTD
P30874	SSTR2	6752	TdgClinicalTrial
ENSG00000187531	SIRT7	51547	Ensembl
ENSG00000176406	RIMS2	9699	Ensembl
ENSG00000163166	IWS1	55677	Ensembl
SCN8A	SCN8A	6334	BaderLabGenes
PSMD14	PSMD14	10213	dGene
MAP3K7	MAP3K7	6885	HumanProteinAtlas
ENSG00000149651	SPINT4	391253	HingoraniCasas
ENSG00000280013			Ensembl
GLA	GLA	2717	Pharos
ENSG00000278586			Ensembl
P12319	FCER1A	2205	TEND
ENSG00000124201	ZNFX1	57169	Ensembl
ARAP2	ARAP2	116984	PharmGKB
OR2J1	OR2J1	442185	GO
ENSG00000241525			Ensembl
ENSG00000240790			Ensembl
ENSG00000202309			Ensembl
FZD7	FZD7	8324	dGene
ENSG00000250517	LDHAL6CP	121498	Ensembl
5241	PGR	5241	GuideToPharmacology
ENSG00000286248			Ensembl
TPSAB1	TPSAB1	7177	dGene
ENSG00000111424	VDR	7421	HingoraniCasas
ENSG00000228261			Ensembl
ENSG00000252361	RNU6-118P	106479618	Ensembl
ENSG00000228775	WEE2-AS1	285962	Ensembl
ENSG00000116260	QSOX1	5768	RussLampel
ENSG00000146904	EPHA1	2041	HingoraniCasas
ALK	ALK	238	TALC
ENSG00000078589	P2RY10	27334	HingoraniCasas
ENSG00000112164	GLP1R	2740	HingoraniCasas
ENSG00000267333	ASNSP6	100423060	Ensembl
PNKP	PNKP	11284	HumanProteinAtlas
ATRX	ATRX	546	Oncomine
ENSG00000260739			Ensembl
ENSG00000120324	PCDHB10	56126	HingoraniCasas
ENSG00000278330			Ensembl
ENSG00000283689			Ensembl
ENSG00000243073	PRAMEF4	400735	Ensembl
P57058	HUNK	30811	HopkinsGroom
ENSG00000021852	C8B	732	Ensembl
ENSG00000236109			Ensembl
ENSG00000246394			Ensembl
ENSG00000263266	RPS7P1	388363	Ensembl
ENSG00000171204	TMEM126B	55863	Ensembl
OR52E2	OR52E2	119678	dGene
ENSG00000072571	HMMR	3161	Ensembl
ENSG00000267592			Ensembl
ENSG00000158815	FGF17	8822	HingoraniCasas
ENSG00000261786			Ensembl
ERBB3	ERBB3	2065	PharmGKB
ENSG00000222398	RNU6-554P	106479812	Ensembl
C2orf31	FZD5	7855	ChemblInteractions
ENSG00000126822	PLEKHG3	26030	Ensembl
ENSG00000211654	IGLV5-37	28783	Ensembl
ENSG00000204832	ST8SIA6-AS1	100128098	Ensembl
GPR85	GPR85	54329	IDG
SRC	SRC	6714	JAX-CKB
ENSG00000214676	RPL9P16	727835	Ensembl
NT-3 growth factor receptor	NTRK3	4916	TTD
ENSG00000067365	METTL22	79091	Ensembl
P40818	USP8	9101	HopkinsGroom
ENSG00000177398	UMODL1	89766	Ensembl
STUB1	STUB1	10273	HumanProteinAtlas
ENSG00000175746	LINC02915	400360	Ensembl
ENSG00000276176	MIR6090	102466104	Ensembl
PHKG1	PHKG1	5260	IDG
ENSG00000182511	FES	2242	RussLampel
BCL2L11	BCL2L11	10018	PharmGKB
MT-CO1	MT-CO1	4512	Pharos
ENSG00000141030	COPS3	8533	Ensembl
ENSG00000275980			Ensembl
ENSG00000261938			Ensembl
ENSG00000131748	STARD3	10948	Ensembl
ENSG00000242534	IGKV2D-28	28883	Ensembl
2147	F2	2147	GuideToPharmacology
ENSG00000198785	GRIN3A	116443	HingoraniCasas
ENSG00000181938	GINS3	64785	Ensembl
ENSG00000233852			Ensembl
ENSG00000070501	POLB	5423	HingoraniCasas
MAST2	MAST2	23139	Pharos
ENSG00000226245	ZNF32-AS1	414197	Ensembl
ENSG00000189401	OTUD6A	139562	Ensembl
ENSG00000228372	SMIM10L2B-AS1	100287728	Ensembl
ENSG00000183034	OTOP2	92736	Ensembl
ENSG00000275827			Ensembl
ENSG00000275981			Ensembl
ENSG00000258234			Ensembl
ENSG00000279057			Ensembl
ENSG00000156282	CLDN17	26285	Ensembl
ENSG00000203664	OR2W5P	441932	Ensembl
ENSG00000187682	ERAS	3266	Ensembl
ENSG00000102287	GABRE	2564	HingoraniCasas
ENSG00000231312			Ensembl
C5a anaphylatoxin chemotactic receptor	C5AR1	728	TTD
ENSG00000183921	SDR42E2	100288072	RussLampel
ENSG00000247809	NR2F2-AS1	644192	Ensembl
ENSG00000170275	CRTAP	10491	Ensembl
3326	HSP90AB1	3326	GuideToPharmacology
ENSG00000234829	IFNA17	3451	Ensembl
ENSG00000211658	IGLV3-27	28791	Ensembl
ENSG00000287667			Ensembl
CABLES1	CABLES1	91768	Pharos
ENSG00000188000	OR7D2	162998	Ensembl
OR2Y1	OR2Y1	134083	Pharos
ENSG00000198920	KIAA0753	9851	Ensembl
ENSG00000122121	XPNPEP2	7512	Ensembl
NANS	NANS	54187	HumanProteinAtlas
ENSG00000106580			RussLampel
ENSG00000104218	CSPP1	79848	Ensembl
PPD	HPD	3242	ChemblInteractions
SCN4A	SCN4A	6329	ChemblInteractions
NRAS	NRAS	4893	JAX-CKB
ENSG00000287948			Ensembl
ENSG00000050748	MAPK9	5601	RussLampel
ENSG00000224079			Ensembl
ENSG00000200755	RNA5SP68	100873303	Ensembl
ENSG00000169330	MINAR1	23251	Ensembl
ENSG00000214897	PNMA6E	649238	Ensembl
ENSG00000145476	CYP4V2	285440	RussLampel
ENSG00000138326	RPS24	6229	Ensembl
ENSG00000171094	ALK	238	HingoraniCasas
ENSG00000100319	ZMAT5	55954	Ensembl
WIF1	WIF1	11197	CarisMolecularIntelligence
ENSG00000231478	FCF1P9	106480444	Ensembl
ENSG00000268108			Ensembl
ENSG00000260371			Ensembl
ENSG00000109625	CPZ	8532	RussLampel
3778	KCNMA1	3778	GuideToPharmacology
P05546	SERPIND1	3053	HopkinsGroom
ENSG00000142552	RCN3	57333	Ensembl
ENSG00000271894			Ensembl
ENSG00000254873			Ensembl
ENSG00000250930	LNX1-AS1	100873939	Ensembl
ENSG00000166856	GPR182	11318	Ensembl
10463	SLC30A9	10463	GuideToPharmacology
ENSG00000151655	ITIH2	3698	RussLampel
THBS1	THBS1	7057	Pharos
ENSG00000207754	MIR487B	664616	Ensembl
191	AHCY	191	GuideToPharmacology
Q16512	PKN1	5585	TdgClinicalTrial
ENSG00000225272			Ensembl
ENSG00000132670	PTPRA	5786	HingoraniCasas
VGLL1	VGLL1	51442	Pharos
ENSG00000227032	RPS2P36	100271243	Ensembl
Orexin receptor type 1	HCRTR1	3061	TTD
ENSG00000198610	AKR1C4	1109	RussLampel
ENSG00000180269	GPR139	124274	HingoraniCasas
ENSG00000165480	SKA3	221150	Ensembl
PBX3	PBX3	5090	Pharos
ENSG00000285589			Ensembl
ENSG00000173848	NET1	10276	Ensembl
SPAM1	SPAM1	6677	Pharos
ENSG00000225256	TRAPPC2P5	27193	Ensembl
ENSG00000235655	H3P6	440926	Ensembl
ENSG00000213281	NRAS	4893	Ensembl
ENSG00000166266	CUL5	8065	Ensembl
ENSG00000117984	CTSD	1509	RussLampel
ENSG00000148408	CACNA1B	774	RussLampel
ENSG00000089057	SLC23A2	9962	Ensembl
ENSG00000214942			Ensembl
Q16829	DUSP7	1849	HopkinsGroom
ENSG00000206693	SNORA56	677835	Ensembl
ENSG00000228412			Ensembl
ENSG00000228848	RPS20P13	100271084	Ensembl
ENSG00000284867			Ensembl
ENSG00000249159			Ensembl
ENSG00000286093			Ensembl
ENSG00000264212			Ensembl
ENSG00000211662	IGLV3-21	28796	Ensembl
ENSG00000125995	ROMO1	140823	Ensembl
FCER1A	FCER1A	2205	PharmGKB
ENSG00000168610	STAT3	6774	HingoraniCasas
FAR1	FAR1	84188	HumanProteinAtlas
Calmodulin-dependent kinase II	CAMKK2	10645	TTD
ENSG00000267077			Ensembl
SLC32A1	SLC32A1	140679	GO
ENSG00000197763	TXNRD3	114112	Ensembl
ENSG00000253936	IGHV3-63	28415	Ensembl
CRP	CRP	1401	PharmGKB
ENSG00000158411	MITD1	129531	Ensembl
ENSG00000288547	C3ORF36	80111	Ensembl
CD137	TNFRSF9	3604	ChemblInteractions
ENSG00000200444	RNU6-1339P	106481603	Ensembl
ENSG00000260179			Ensembl
OMA1	OMA1	115209	dGene
ENSG00000235420	RPL29P30	729611	Ensembl
OR51B2	OR51B2	79345	dGene
ENSG00000148377	IDI2	91734	Ensembl
ANG-2	ANGPT2	285	TALC
ENSG00000228055	FAM245A	728218	Ensembl
ENSG00000232536			Ensembl
MAPK15	MAPK15	225689	Pharos
ENSG00000185559	DLK1	8788	Ensembl
ENSG00000228735			Ensembl
ENSG00000170929	OR1M1	125963	Ensembl
ENSG00000265888	DSCAS	101927698	Ensembl
TBL1X	TBL1X	6907	Pharos
ENSG00000237708			Ensembl
ENSG00000265698	LARP7P3	106481700	Ensembl
ENSG00000286100			Ensembl
ENSG00000288102			Ensembl
ENSG00000282418			Ensembl
ENSG00000277245			Ensembl
ENSG00000256077	LINC02442	105369815	Ensembl
ENSG00000238551	RNU6-1193P	106481556	Ensembl
ENSG00000143486	EIF2D	1939	Ensembl
ENSG00000149639	SOGA1	140710	Ensembl
ENSG00000152558	TMEM123	114908	HingoraniCasas
Q92887	ABCC2	1244	HopkinsGroom
ENSG00000241684	ADAMTS9-AS2	100507098	Ensembl
ENSG00000074935	TUBE1	51175	HingoraniCasas
ME3	ME3	10873	DTC
Q9HB55	CYP3A43	64816	HopkinsGroom
ENSG00000110200	ANAPC15	25906	Ensembl
ENSG00000278864			Ensembl
ENSG00000259048			Ensembl
ENSG00000275144	SNX18P5	100418977	Ensembl
ENSG00000150048	CLEC1A	51267	Ensembl
ENSG00000286668			Ensembl
ENSG00000137073	UBAP2	55833	Ensembl
ENSG00000260141			Ensembl
ENSG00000139220	PPFIA2	8499	Ensembl
ENSG00000104808	DHDH	27294	Ensembl
ENSG00000222357	RNU2-20P	106481640	Ensembl
ENSG00000161040	FBXL13	222235	Ensembl
ENSG00000240641	RN7SL580P	106481081	Ensembl
PTGFR	PTGFR	5737	ChemblInteractions
ENSG00000181773	GPR3	2827	HingoraniCasas
ENSG00000211825	TRDJ1	28522	Ensembl
ENSG00000282222			Ensembl
ENSG00000283787	PRR33	102724536	Ensembl
ENSG00000253412	IGHVIII-13-1	28351	Ensembl
ENSG00000167236	CCL23	6368	HingoraniCasas
ENSG00000124772	CPNE5	57699	Ensembl
ENSG00000116106	EPHA4	2043	Ensembl
5-HT 6 receptor	HTR6	3362	TTD
ENSG00000138315	OIT3	170392	Ensembl
ENSG00000199168	MIR374A	442919	Ensembl
OR4S1	OR4S1	256148	GO
OR2I1P	OR2I1P	442197	GO
ENSG00000250039			Ensembl
UMOD	UMOD	7369	NCI
ENSG00000085231	AK6	102157402	Ensembl
Chloride channel unspecific	CLC	1178	TTD
ENSG00000146966	DENND2A	27147	Ensembl
MMP7	MMP7	4316	GO
GPR12	GPR12	2835	dGene
ENSG00000214178	PPIAP23	390419	Ensembl
ENSG00000256350			Ensembl
ENSG00000286249			Ensembl
P06737	PYGL	5836	TdgClinicalTrial
ENSG00000200875	RNU6-340P	106479717	Ensembl
ENSG00000274252	GGTLC3	728226	Ensembl
ENSG00000198022	SAGE2P	644717	Ensembl
ENSG00000168078	PBK	55872	RussLampel
ENSG00000130921	MTRFR	91574	Ensembl
ENSG00000176984			Ensembl
ENSG00000040341	STAU2	27067	Ensembl
OR51G1	OR51G1	79324	GO
ENSG00000225602	MTOR-AS1	100873935	Ensembl
ENSG00000266104	MIR4326	100422945	Ensembl
CIT	CIT	11113	dGene
ENSG00000236940			Ensembl
ENSG00000284730			Ensembl
RLN3	RLN3	117579	Pharos
POMT2	POMT2	29954	HumanProteinAtlas
ENSG00000201157	SNORA62	6044	Ensembl
ENSG00000202024	RNU6-934P	106481475	Ensembl
ENSG00000261156	LINC01989	101927239	Ensembl
INPP4B	INPP4B	8821	MskImpact
ENSG00000189143	CLDN4	1364	Ensembl
TIL3	TLR5	7100	ChemblInteractions
ENSG00000206599	RNU6-841P	106480699	Ensembl
ENSG00000151233	GXYLT1	283464	Ensembl
NACA	NACA	4666	Pharos
GALK1	GALK1	2584	DTC
ENSG00000213759	UGT2B11	10720	Ensembl
ENSG00000196445			RussLampel
POLG2	POLG2	11232	Pharos
2324	FLT4	2324	GuideToPharmacology
PALLD	PALLD	23022	Tempus
ENSG00000258118	PPIAP44	111082964	Ensembl
ENSG00000231199	MTND5P19	100873270	Ensembl
ENSG00000259138			Ensembl
89874	SLC25A21	89874	GuideToPharmacology
ENSG00000266450			Ensembl
RXFP2	RXFP2	122042	DTC
ENSG00000163823	CCR1	1230	HingoraniCasas
ENSG00000279805			Ensembl
81491	GPR63	81491	GuideToPharmacology
ENSG00000279143			Ensembl
ENSG00000263629	MIR5586	100847088	Ensembl
ENSG00000116774	OLFML3	56944	HingoraniCasas
ENSG00000157379	DHRS1	115817	Ensembl
Parathyroid hormone 1 receptor	PTH1R	5745	TTD
RAMP3	RAMP3	10268	ChemblInteractions
ENSG00000134575	ACP2	53	HingoraniCasas
ENSG00000197161	OR4C4P	79550	Ensembl
ENSG00000271185			Ensembl
ENSG00000255867	DENND5B-AS1	100874249	Ensembl
ENSG00000145384	FABP2	2169	Ensembl
ADGRE1	ADGRE1	2015	GO
3762	KCNJ5	3762	GuideToPharmacology
ENSG00000206604	RNU6-425P	106481312	Ensembl
RAD21	RAD21	5885	CarisMolecularIntelligence
ENSG00000199815	SNORA17A	677804	Ensembl
ENSG00000211731	TRBV5-7	28608	Ensembl
ENSG00000259649			Ensembl
ENSG00000206687	RNU1-109P	106481625	Ensembl
ENSG00000219500			Ensembl
Fyn tyrosine protein kinase	FYN	2534	TTD
ENSG00000287505			Ensembl
ENSG00000242928	RN7SL868P	106479537	Ensembl
ENSG00000257595	LINC02356	105369984	Ensembl
FN3KRP	FN3KRP	79672	Pharos
ENSG00000281974			Ensembl
ANGPTL8	ANGPTL8	55908	GO
ENSG00000261507			Ensembl
B3GALNT2	B3GALNT2	148789	HumanProteinAtlas
P58173	OR2B6	26212	HopkinsGroom
ENSG00000181019	NQO1	1728	Ensembl
5793	PTPRG	5793	GuideToPharmacology
ENSG00000201867			Ensembl
IL12A	IL12A	3592	GO
ENSG00000217128	FNIP1	96459	Ensembl
ENSG00000108010	GLRX3	10539	RussLampel
ENSG00000171815	PCDHB1	29930	Ensembl
OR10A2	OR10A2	341276	GO
ENSG00000163788	SNRK	54861	HingoraniCasas
ENSG00000242593			Ensembl
ENSG00000225347	SLC25A5P8	392301	Ensembl
ENSG00000163126	ANKRD23	200539	Ensembl
MLK3	MAP3K11	4296	ChemblInteractions
ENSG00000146856	AGBL3	340351	Ensembl
SMAD4	SMAD4	4089	Tempus
N-formyl peptide receptor	FPR1	2357	TTD
ENSG00000105374	NKG7	4818	Ensembl
ENSG00000234332	BCAS2P2	100421045	Ensembl
